id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung
15430,11344,KOLM SAIGURN,12.984722,47.069443,1626.0,1974-06-01,2100-12-31,SAL,ja,ja
15500,11145,BAD GASTEIN,13.133333,47.116665,1100.0,1972-04-01,1995-10-31,SAL,ja,nein
15505,,BAD HOFGASTEIN,13.105556,47.171944,850.0,1984-05-01,2005-08-31,SAL,ja,nein
15610,11149,OBERTAUERN,13.559722,47.24889,1772.0,1994-04-01,2100-12-31,SAL,ja,ja
15701,11148,ST.MICHAEL/LUNGAU,13.631667,47.095001,1049.0,1988-07-01,2008-04-01,SAL,ja,nein
15710,,TAMSWEG,13.81,47.124722,1012.0,1976-07-01,1993-10-31,SAL,nein,nein
15715,11349,KATSCHBERG,13.614722,47.060555,1635.0,1998-11-01,2100-12-31,KNT,ja,ja
15900,,OBERWOELZ,14.283055,47.201111,810.0,1961-01-01,1991-07-31,STMK,ja,nein
15906,,KRAKAUEBENE/TERRASSE,13.952222,47.187222,1310.0,1996-08-01,2001-12-31,STMK,nein,ja
15911,11163,STOLZALPE,14.185833,47.121666,1215.0,2000-01-04,2004-06-30,STMK,ja,nein
16015,11220,NEUMARKT,14.424723,47.069721,869.0,1993-06-01,2100-12-31,STMK,ja,ja
16400,11240,GRAZ-FLUGHAFEN,15.44,46.980556,340.0,1969-05-01,2100-12-31,STMK,ja,ja
16401,,GRAZ-MESSENDORFBERG,15.489722,47.046944,435.0,1974-11-01,2001-07-31,STMK,ja,nein
16402,,GRAZ-UNIVERSITAET,15.447778,47.079723,366.0,1911-06-01,2005-01-31,STMK,ja,nein
16412,11290,GRAZ-UNIVERSITAET,15.448889,47.077778,367.0,1988-06-01,2100-12-31,STMK,ja,ja
16413,11238,GRAZ/STRASSGANG,15.410277,47.046112,357.0,2007-11-01,2100-12-31,STMK,ja,ja
16420,11241,SCHOECKL,15.468056,47.198612,1436.0,1961-01-01,1995-12-31,STMK,ja,nein
16421,11241,SCHOECKL,15.466389,47.198612,1443.0,1992-12-01,2100-12-31,STMK,ja,ja
16500,,GLEISDORF,15.710834,47.113335,375.0,1979-01-01,1998-12-31,STMK,nein,nein
16501,11247,GLEISDORF,15.708055,47.115555,377.0,2007-06-01,2100-12-31,STMK,nein,ja
16521,11243,WEIZ,15.634444,47.218334,465.7,1984-10-01,2013-05-28,STMK,nein,ja
16601,11246,FUERSTENFELD,16.080833,47.030834,271.0,2007-07-01,2100-12-31,STMK,ja,ja
16702,11198,GUESSING,16.321945,47.0625,215.3,2008-07-01,2100-12-31,BGL,ja,ja
16711,11392,WOERTERBERG,16.096666,47.226112,404.0,2007-07-01,2100-12-31,BGL,ja,ja
16800,11192,KLEINZICKEN,16.335556,47.2075,265.0,1992-12-01,2100-12-31,BGL,ja,ja
16802,11192,KLEINZICKEN,16.333334,47.216667,267.0,1978-11-01,1993-04-30,BGL,ja,nein
16920,,GARGELLEN,9.916667,46.966667,1474.0,1953-01-01,1962-09-30,VBG,ja,nein
17002,11312,GALTUER,10.185555,46.968056,1587.0,1996-11-01,2100-12-31,TIR,ja,ja
17010,,KOPS,10.116667,46.966667,1829.0,1963-01-01,1996-01-31,VBG,ja,nein
17100,,NAUDERS,10.5,46.900002,1360.0,1961-01-01,2001-03-31,TIR,ja,nein
17102,11113,NAUDERS,10.496944,46.891109,1330.2,2004-06-01,2100-12-31,TIR,nein,ja
17300,11127,OBERGURGL,11.027223,46.8675,1938.0,1953-05-01,1998-12-31,TIR,ja,nein
17301,11127,OBERGURGL,11.024445,46.866943,1941.0,1999-01-01,2100-12-31,TIR,ja,ja
17305,,VENT,10.933333,46.866665,1908.0,1939-01-01,1977-12-31,TIR,ja,nein
17315,11316,PITZTALER GLETSCHER,10.879167,46.926945,2863.9,1993-12-16,2100-12-31,TIR,ja,ja
17320,11318,BRUNNENKOGEL,10.861667,46.912777,3437.0,2003-07-01,2100-12-31,TIR,nein,nein
17701,11300,ST.JAKOB/DEF.,12.353889,46.916943,1383.0,2007-07-07,2100-12-31,TIR,ja,ja
17900,11204,LIENZ,12.783334,46.816666,668.0,1934-06-20,2003-01-31,TIR,ja,ja
17901,11204,LIENZ,12.806389,46.825554,661.4,1985-12-01,2100-12-31,TIR,ja,ja
18001,11206,DOELLACH,12.9025,46.958057,1071.0,2004-05-26,2100-12-31,KNT,ja,ja
18120,,OBERVELLACH,13.233334,46.933334,778.0,1970-01-01,1981-12-31,KNT,ja,nein
18122,11262,OBERVELLACH,13.194445,46.935276,688.0,2014-07-01,2100-12-31,KNT,ja,ja
18200,,LITZLHOF,13.433333,46.833332,580.0,1960-01-01,1992-10-31,KNT,ja,nein
18300,11211,RADENTHEIN,13.7,46.783333,685.0,1980-01-01,1995-11-30,KNT,nein,nein
18402,11222,FLATTNITZ,14.036111,46.940834,1437.0,2007-07-01,2100-12-31,KNT,nein,ja
18600,,FRIESACH,14.42,46.955276,634.0,1958-06-01,2007-12-31,KNT,ja,nein
18800,11214,PREITENEGG,14.916667,46.933334,1055.0,1978-02-01,1981-01-31,KNT,nein,nein
18905,11285,DEUTSCHLANDSBERG,15.228889,46.821667,354.0,1994-07-01,2001-04-30,STMK,ja,nein
19010,,SILBERBERG/LEIBNITZ,15.516666,46.783333,300.0,1972-01-01,1989-10-31,STMK,ja,nein
19204,11244,BAD GLEICHENBERG,15.903611,46.872223,269.0,2003-05-01,2100-12-31,STMK,ja,ja
19205,11298,FELDBACH,15.879723,46.948891,323.0,1998-11-01,2100-12-31,STMK,ja,ja
19715,,VORHEGG,12.972222,46.677776,1020.0,1990-12-03,2010-04-30,KNT,ja,ja
19730,,LAAS,12.983334,46.683334,800.0,1969-07-01,2000-12-31,KNT,ja,nein
19731,,LAAS,12.983334,46.683334,891.0,1961-01-01,1968-09-30,KNT,ja,nein
19800,11207,REISACH,13.154166,46.648335,646.0,2006-02-02,2007-12-31,KNT,nein,nein
19810,,WEISSBRIACH,13.25,46.683334,817.0,1980-01-01,1980-12-31,KNT,ja,nein
19911,11259,HERMAGOR,13.492222,46.609722,562.0,2008-07-01,2100-12-31,KNT,ja,ja
20002,11218,BAD BLEIBERG,13.684444,46.625278,908.7,2007-08-01,2100-12-31,KNT,ja,ja
20020,11212,VILLACHER ALPE,13.673333,46.603611,2140.0,1933-06-01,2100-12-31,KNT,ja,nein
